 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Center_to_Edge,Distance_Ratio,Distance_to_Periphery
1,0.0227,65.9331,44.2198,1.0,0.2053,1157.0,775.0,123.6901,0.1708,1.0688,0.9356,0.875,7.588881831337211,8.048417654348883,0.9429035814557454,0.45953582301167195
2,0.0486,68.544,44.3033,1.0,0.3067,1201.0,777.0,158.1986,0.2278,1.1275,0.8869,0.8571,6.881063456327082,8.480900972148817,0.8113599579719675,1.5998375158217346
3,0.0195,67.3121,45.131,1.0,0.2053,1181.0,791.0,123.6901,0.1139,1.5,0.6667,1.0,6.265406911765587,8.295612989805631,0.7552675033737787,2.0302060780400444
4,0.0551,69.4543,45.4492,1.0,0.3321,1217.0,797.0,149.0362,0.2278,1.2632,0.7917,0.9189,5.74110860810001,8.455003847788182,0.6790190414403982,2.7138952396881724
5,0.133,68.2684,45.6171,0.9097,0.5094,1195.0,803.0,26.5651,0.4027,1.2765,0.7834,0.8454,5.598777956840224,8.449548825473094,0.6626126521645073,2.8507708686328703
6,0.1589,70.1403,45.676,1.0,0.5372,1229.0,806.0,57.9946,0.3986,1.1584,0.8633,0.9423,5.615981379064569,8.33010811547859,0.6741786902656441,2.7141267364140207
7,0.0713,72.0206,46.0137,0.9223,0.4027,1262.0,806.0,135.0,0.2847,1.3214,0.7567,0.8627,5.987065071468659,7.7238810283701484,0.7751368838383075,1.7368159569014896
8,0.0227,70.7574,46.2537,1.0,0.2053,1241.0,811.0,123.6901,0.1708,1.0688,0.9356,0.875,5.2286338722461725,8.105281088792346,0.6450897649282165,2.876647216546173
9,0.0097,65.727,46.6496,1.0,0.1611,1153.0,820.0,45.0,0.1139,1.4638,0.6831,0.8571,5.569106301732799,7.605824826720852,0.732215956666181,2.0367185249880526
10,0.0259,64.5786,46.8109,1.0,0.2547,1133.0,820.0,116.5651,0.1139,2.0,0.5,1.0,6.194392968645118,7.255598431628031,0.8537397744675352,1.0612054629829135
11,0.0032,67.967,46.7825,1.0,0.0805,1193.0,821.0,135.0,0.0569,1.0,1.0,1.0,4.503283869577845,8.352938627793094,0.5391256981817002,3.849654758215249
12,0.1654,71.7076,47.2057,0.9813,0.5372,1257.0,833.0,57.9946,0.4556,1.0788,0.927,0.9107,4.813074897609636,7.572692087012988,0.6355830716878031,2.759617189403352
13,0.0162,65.9396,47.2494,1.0,0.2053,1157.0,828.0,123.6901,0.1139,1.553,0.6439,0.9091,4.961225836423897,7.5285334837429545,0.6589896753646806,2.5673076473190575
14,0.0357,64.6174,47.6211,0.9762,0.2847,1133.0,838.0,36.8699,0.2278,1.1475,0.8715,0.8148,5.623389085773807,7.067942156799199,0.7956190021114187,1.4445530710253918
15,0.0454,74.2678,47.6692,0.9106,0.3067,1303.0,835.0,111.8014,0.2278,1.2112,0.8256,0.8485,6.342807532946272,6.841882944968427,0.9270558388624319,0.49907541202215544
16,0.0616,68.971,47.9604,0.9445,0.3646,1209.0,844.0,38.6598,0.2847,1.1983,0.8345,0.8837,3.2102099682108025,8.486670552177713,0.3782649448301077,5.2764605839669105
17,0.1362,65.8138,48.1411,1.0,0.4899,1153.0,842.0,125.5377,0.3986,1.1234,0.8902,0.9333,4.38136523129492,7.221211520776324,0.6067354790382732,2.839846289481404
18,0.0908,73.676,48.7349,0.92,0.4146,1293.0,852.0,105.9454,0.3417,1.0928,0.9151,0.8615,5.29097755523495,6.69386540841301,0.7904218612739246,1.4028878531780595
19,0.1622,64.5239,48.8622,0.6698,0.616,1129.0,860.0,33.6901,0.4494,1.29,0.7752,0.7937,5.0176315697747285,6.740458578520535,0.7444050744209231,1.7228270087458064
20,0.0843,71.5393,48.8391,0.9927,0.4107,1254.0,855.0,123.6901,0.3221,1.2079,0.8279,0.8814,3.462806425430099,7.1038408605770345,0.4874555178519048,3.6410344351469353
21,0.0032,69.3907,49.5729,1.0,0.0805,1218.0,870.0,135.0,0.0569,1.0,1.0,1.0,1.6498915661339708,8.26729942589659,0.19956838154014722,6.617407859762619
22,0.0584,70.0962,50.0158,1.0,0.382,1228.0,877.0,153.4349,0.2278,1.7043,0.5867,0.878,1.6067665916367557,7.22578935016413,0.22236554565491987,5.619022758527374
23,0.0584,65.572,50.1993,1.0,0.3321,1150.0,879.0,120.9638,0.2847,1.0944,0.9137,0.8372,3.5427493123279237,6.523481901376385,0.5430764376889651,2.9807325890484617
24,0.0324,69.3451,50.4897,1.0,0.2847,1216.0,885.0,143.1301,0.1708,1.2878,0.7765,0.9091,0.7730808625234515,7.8089315125761765,0.09899957007926315,7.0358506500527245
25,0.0713,66.5381,50.6575,1.0,0.4027,1166.0,887.0,135.0,0.2847,1.2879,0.7765,0.9362,2.4942462629018807,6.472900967533222,0.3853366945381247,3.978654704631341
26,0.107,70.9403,51.3711,0.9652,0.4448,1243.0,905.0,39.8056,0.3417,1.2439,0.8039,0.8919,1.9715217320638332,6.422792190536402,0.3069571104867369,4.451270458472569
27,0.1005,68.8175,51.5403,0.9067,0.4448,1206.0,902.0,129.8056,0.3417,1.1621,0.8605,0.8611,0.4034356702127397,7.978935814740217,0.050562591250256216,7.575500144527478
28,0.1427,73.2631,51.7136,0.9964,0.5372,1284.0,904.0,122.0054,0.3986,1.2602,0.7935,0.898,4.318374903826665,6.4316049810265135,0.6714303687129479,2.113230077199849
29,0.0616,63.579,51.677,1.0,0.3321,1115.0,905.0,120.9638,0.2847,1.1388,0.8781,0.8636,5.42369255765848,6.410799154978168,0.8460244076507729,0.9871065973196878
30,0.0811,66.1196,51.6845,1.0,0.382,1158.0,906.0,153.4349,0.2847,1.2299,0.813,0.9091,2.90521282697154,6.438145386200526,0.4512499567342098,3.5329325592289864
31,0.0454,72.1119,52.404,0.9925,0.3321,1264.0,919.0,149.0362,0.2278,1.3713,0.7293,0.8485,3.3669478715893493,6.615517586325055,0.5089470064366802,3.2485697147357055
32,0.0162,73.6731,52.3405,1.0,0.2053,1292.0,920.0,33.6901,0.1139,1.553,0.6439,0.9091,4.837689615922052,6.497781268576489,0.7445140757995807,1.6600916526544367
33,0.0227,63.6064,52.5586,0.8001,0.2416,1116.0,921.0,135.0,0.1708,1.2665,0.7896,0.7778,5.548997635609514,6.478912685562784,0.8564705074625507,0.9299150499532693
34,0.0292,71.8331,53.0657,1.0,0.2547,1260.0,930.0,116.5651,0.1708,1.3403,0.7461,0.8571,3.425972974207475,6.900746653964556,0.4964640996114841,3.474773679757081
35,0.0389,73.7424,53.284,0.8507,0.2904,1294.0,933.0,101.3099,0.2278,1.1102,0.9007,0.7742,5.211184042038818,6.663713996433238,0.7820239651383766,1.4525299543944197
36,0.133,64.3654,53.969,0.6785,0.6133,1129.0,953.0,68.1986,0.2847,1.9663,0.5086,0.8723,5.395956589892107,6.783491513641462,0.7954541667872582,1.3875349237493557
37,0.0162,67.295,54.049,1.0,0.2053,1180.0,950.0,33.6901,0.1139,1.553,0.6439,0.9091,3.334822717926695,7.731530000267069,0.4313276567266118,4.396707282340374
38,0.1038,69.6434,54.2195,0.9359,0.4591,1222.0,948.0,119.7449,0.3417,1.217,0.8217,0.9143,3.1204516612182887,8.367580928722159,0.3729215991813327,5.247129267503871
39,0.0065,70.1025,54.4134,1.0,0.1273,1230.0,955.0,153.4349,0.0569,2.0,0.5,1.0,3.431909685583237,8.194144381565541,0.4188246540180623,4.762234695982304
40,0.013,65.9453,54.5273,0.8574,0.2053,1157.0,956.0,123.6901,0.1139,2.0313,0.4923,0.8,4.524463568203412,7.294012852650061,0.6202982719669302,2.769549284446649
41,0.1135,66.9647,54.8641,0.9682,0.4591,1174.0,960.0,119.7449,0.3417,1.1807,0.8469,0.9091,4.2070591557523915,7.796211728150023,0.5396286430449077,3.589152572397632
42,0.1459,69.9437,54.9525,0.9984,0.5094,1226.0,961.0,116.5651,0.433,1.1763,0.8501,0.8738,3.9030006021009034,8.322957133907323,0.4689439749966113,4.41995653180642
43,0.12,66.1016,55.0352,1.0,0.4591,1159.0,970.0,60.2551,0.3986,1.1058,0.9043,0.8916,4.818149428982043,7.492589240813849,0.6430553276211219,2.674439811831806
44,0.0162,72.2722,54.9374,1.0,0.2053,1268.0,966.0,56.3099,0.1139,1.553,0.6439,0.9091,5.003393696282551,7.4029168557628235,0.6758678766448178,2.399523159480273
45,0.0876,64.4489,55.2086,0.9929,0.4107,1129.0,972.0,33.6901,0.2847,1.1471,0.8718,0.9474,6.068545955169164,7.084090018589718,0.8566443875281633,1.0155440634205544
46,0.0746,71.5745,56.2135,1.0,0.382,1256.0,984.0,116.5651,0.2847,1.2266,0.8152,0.902,5.671636506335719,7.922977629880742,0.7158465884020285,2.251341123545023
47,0.0584,67.7866,56.4224,1.0,0.3321,1189.0,988.0,120.9638,0.2801,1.2204,0.8194,0.8571,5.385463861172965,8.309680227708625,0.6480951990444996,2.924216366535661
48,0.0065,65.262,56.5774,1.0,0.1273,1145.0,993.0,153.4349,0.0569,2.0,0.5,1.0,6.561217512017107,7.573749404766671,0.8663103518962075,1.0125318927495641
49,0.1038,69.1504,56.7269,0.9359,0.4591,1212.0,993.0,119.7449,0.3417,1.2467,0.8021,0.8767,5.5589430335271475,8.48692624957506,0.6550007470378906,2.9279832160479122
50,0.1038,72.9534,57.1078,0.9912,0.4146,1281.0,999.0,105.9454,0.3417,1.0517,0.9509,0.8889,7.144662287330311,7.67874870634099,0.9304461651975094,0.5340864190106789
51,0.0227,66.4131,57.1225,0.9433,0.2547,1164.0,1004.0,26.5651,0.1139,1.9357,0.5166,0.9333,6.481431664377864,7.988673815708593,0.8113276138065681,1.5072421513307281
52,0.0065,71.8679,57.3747,1.0,0.1273,1261.0,1007.0,153.4349,0.0569,2.0,0.5,1.0,6.843727056217248,8.003480974969847,0.8550938120075974,1.1597539187525987
53,0.0486,70.6283,57.6557,1.0,0.3321,1239.0,1010.0,120.9638,0.2278,1.4352,0.6968,0.8824,6.691540368256028,8.323924907420828,0.8038924476950147,1.6323845391648
54,0.0032,67.967,57.6595,1.0,0.0805,1193.0,1012.0,135.0,0.0569,1.0,1.0,1.0,6.567340954298019,8.394049430109371,0.7823805433812473,1.826708475811352
55,0.094,68.5522,58.2584,1.0,0.4107,1202.0,1020.0,123.6901,0.3417,1.0573,0.9458,0.8923,7.1006384980507224,8.46790371481659,0.8385355735241161,1.3672652167658672
56,0.0324,67.6822,58.2403,1.0,0.2547,1187.0,1021.0,116.5651,0.1708,1.2356,0.8093,0.9091,7.187652490904104,8.364029831217584,0.8593528043237227,1.17637734031348
57,0.094,66.4962,58.7159,1.0,0.4337,1164.0,1030.0,156.8014,0.3242,1.3855,0.7217,0.8529,7.943289490507063,8.158421718686622,0.973630656075696,0.21513222817955935
58,0.0097,69.3717,59.235,1.0,0.1611,1217.0,1041.0,45.0,0.1139,1.4638,0.6831,0.8571,8.073955700274803,8.484446538186232,0.9516184307292269,0.4104908379114285
60,170.4926,68.979,51.1706,0.9701,16.9749,1208.561,1047.5867,88.9647,12.8059,1.3254,0.7545,1.0002,,,,
